C32,Cyclic group,32,1,C32,"32,1"
C2.C42,1st central stem extension by C2 of C42,32,,C2.C4^2,"32,2"
C4×C8,"Abelian group of type [4,8]",32,,C4xC8,"32,3"
C8&rtimesC4,3rd semidirect product of C8 and C4 acting via C4/C2=C2,32,,C8:C4,"32,4"
C22&rtimesC8,The semidirect product of C22 and C8 acting via C8/C4=C2,16,,C2^2:C8,"32,5"
C23&rtimesC4,The semidirect product of C23 and C4 acting faithfully,8,4+,C2^3:C4,"32,6"
C4.D4,1st non-split extension by C4 of D4 acting via D4/C22=C2,8,4+,C4.D4,"32,7"
C4.10D4,2nd non-split extension by C4 of D4 acting via D4/C22=C2,16,4-,C4.10D4,"32,8"
D4&rtimesC4,1st semidirect product of D4 and C4 acting via C4/C2=C2,16,,D4:C4,"32,9"
Q8&rtimesC4,1st semidirect product of Q8 and C4 acting via C4/C2=C2,32,,Q8:C4,"32,10"
C4≀C2,Wreath product of C4 by C2,8,2,C4wrC2,"32,11"
C4&rtimesC8,The semidirect product of C4 and C8 acting via C8/C4=C2,32,,C4:C8,"32,12"
C4.Q8,1st non-split extension by C4 of Q8 acting via Q8/C4=C2,32,,C4.Q8,"32,13"
C2.D8,2nd central extension by C2 of D8,32,,C2.D8,"32,14"
C8.C4,1st non-split extension by C8 of C4 acting via C4/C2=C2,16,2,C8.C4,"32,15"
C2×C16,"Abelian group of type [2,16]",32,,C2xC16,"32,16"
M5(2),Modular maximal-cyclic group; = C16&rtimes3C2,16,2,M5(2),"32,17"
D16,Dihedral group,16,2+,D16,"32,18"
SD32,Semidihedral group; = C16&rtimes2C2 = QD32,16,2,SD32,"32,19"
Q32,Generalised quaternion group; = C16.C2 = Dic8,32,2-,Q32,"32,20"
C2×C42,"Abelian group of type [2,4,4]",32,,C2xC4^2,"32,21"
C2×C22&rtimesC4,Direct product of C2 and C22&rtimesC4,16,,C2xC2^2:C4,"32,22"
C2×C4&rtimesC4,Direct product of C2 and C4&rtimesC4,32,,C2xC4:C4,"32,23"
C42&rtimesC2,1st semidirect product of C42 and C2 acting faithfully,16,,C4^2:C2,"32,24"
C4×D4,Direct product of C4 and D4,16,,C4xD4,"32,25"
C4×Q8,Direct product of C4 and Q8,32,,C4xQ8,"32,26"
C22≀C2,Wreath product of C22 by C2,8,,C2^2wrC2,"32,27"
C4&rtimesD4,The semidirect product of C4 and D4 acting via D4/C22=C2,16,,C4:D4,"32,28"
C22&rtimesQ8,The semidirect product of C22 and Q8 acting via Q8/C4=C2,16,,C2^2:Q8,"32,29"
C22.D4,3rd non-split extension by C22 of D4 acting via D4/C22=C2,16,,C2^2.D4,"32,30"
C4.4D4,4th non-split extension by C4 of D4 acting via D4/C4=C2,16,,C4.4D4,"32,31"
C42.C2,4th non-split extension by C42 of C2 acting faithfully,32,,C4^2.C2,"32,32"
C42&rtimes2C2,2nd semidirect product of C42 and C2 acting faithfully,16,,C4^2:2C2,"32,33"
C4&rtimes1D4,The semidirect product of C4 and D4 acting via D4/C4=C2,16,,C4:1D4,"32,34"
C4&rtimesQ8,The semidirect product of C4 and Q8 acting via Q8/C4=C2,32,,C4:Q8,"32,35"
C22×C8,"Abelian group of type [2,2,8]",32,,C2^2xC8,"32,36"
C2×M4(2),Direct product of C2 and M4(2),16,,C2xM4(2),"32,37"
C8○D4,Central product of C8 and D4,16,2,C8oD4,"32,38"
C2×D8,Direct product of C2 and D8,16,,C2xD8,"32,39"
C2×SD16,Direct product of C2 and SD16,16,,C2xSD16,"32,40"
C2×Q16,Direct product of C2 and Q16,32,,C2xQ16,"32,41"
C4○D8,Central product of C4 and D8,16,2,C4oD8,"32,42"
C8&rtimesC22,The semidirect product of C8 and C22 acting faithfully; = Aut(D8) = Hol(C8),8,4+,C8:C2^2,"32,43"
C8.C22,The non-split extension by C8 of C22 acting faithfully,16,4-,C8.C2^2,"32,44"
C23×C4,"Abelian group of type [2,2,2,4]",32,,C2^3xC4,"32,45"
C22×D4,Direct product of C22 and D4,16,,C2^2xD4,"32,46"
C22×Q8,Direct product of C22 and Q8,32,,C2^2xQ8,"32,47"
C2×C4○D4,Direct product of C2 and C4○D4,16,,C2xC4oD4,"32,48"
2+&hairsp1+4,Extraspecial group; = D4○D4,8,4+,"ES+(2,2)","32,49"
2-&hairsp1+4,Gamma matrices = Extraspecial group; = D4○Q8,16,4-,"ES-(2,2)","32,50"
C25,"Elementary abelian group of type [2,2,2,2,2]",32,,C2^5,"32,51"




