32;[ 32, 32 ];(C2 x C2) . (C2 x C2 x C2);[ 2 ];4th non-split extension by C42 of C2 acting faithfully
32;[ 32, 33 ];(C4 x C4) : C2;[ 2 ];2nd semidirect product of C42 and C2 acting faithfully
32;[ 32, 34 ];(C4 x C4) : C2;[ 2 ];The semidirect product of C4 and D4 acting via D4/C4=C2
32;[ 32, 35 ];C4 : Q8;[ 2 ];The semidirect product of C4 and Q8 acting via Q8/C4=C2
32;[ 32, 36 ];C8 x C2 x C2;[ 2 ];Abelian group of type [2,2,8]
32;[ 32, 37 ];C2 x (C8 : C2);[ 2 ];Direct product of C2 and M4(2)
32;[ 32, 38 ];(C8 x C2) : C2;[ 2 ];Central product of C8 and D4
32;[ 32, 39 ];C2 x D16;[ 2 ];Direct product of C2 and D8
32;[ 32, 40 ];C2 x QD16;[ 2 ];Direct product of C2 and SD16
32;[ 32, 41 ];C2 x Q16;[ 2 ];Direct product of C2 and Q16
32;[ 32, 42 ];(C8 x C2) : C2;[ 2 ];Central product of C4 and D8
32;[ 32, 43 ];C8 : (C2 x C2);[ 2 ];The semidirect product of C8 and C22 acting faithfully
32;[ 32, 44 ];(C2 x Q8) : C2;[ 2 ];The non-split extension by C8 of C22 acting faithfully
32;[ 32, 45 ];C4 x C2 x C2 x C2;[ 2 ];Abelian group of type [2,2,2,4]
32;[ 32, 46 ];C2 x C2 x D8;[ 2 ];Direct product of C22 and D4
32;[ 32, 47 ];C2 x C2 x Q8;[ 2 ];Direct product of C22 and Q8
32;[ 32, 48 ];C2 x ((C4 x C2) : C2);[ 2 ];Direct product of C2 and C4○D4
32;[ 32, 49 ];(C2 x C2 x C2) : (C2 x C2);[ 2 ];Extraspecial group
32;[ 32, 50 ];(C2 x Q8) : C2;[ 2 ];Gamma matrices = Extraspecial group
32;[ 32, 51 ];C2 x C2 x C2 x C2 x C2;[ 2 ];Elementary abelian group of type [2,2,2,2,2]
33;[ 33, 1 ];C33;[ 3, 11 ];Cyclic group
34;[ 34, 1 ];D34;[ 2, 17 ];Dihedral group
34;[ 34, 2 ];C34;[ 2, 17 ];Cyclic group
