C75,Cyclic group,75,1,C75,"75,1"
C52⋊C3,The semidirect product of C52 and C3 acting faithfully,15,3,C5^2:C3,"75,2"
C5×C15,"Abelian group of type [5,15]",75,,C5xC15,"75,3"
