D27,Dihedral group,27,2+,D27,"54,1"
C54,Cyclic group,54,1,C54,"54,2"
C3×D9,Direct product of C3 and D9,18,2,C3xD9,"54,3"
S3×C9,Direct product of C9 and S3,18,2,S3xC9,"54,4"
C32&rtimesC6,The semidirect product of C32 and C6 acting faithfully,9,6+,C3^2:C6,"54,5"
C9&rtimesC6,The semidirect product of C9 and C6 acting faithfully; = Aut(D9) = Hol(C9),9,6+,C9:C6,"54,6"
C9&rtimesS3,The semidirect product of C9 and S3 acting via S3/C3=C2,27,,C9:S3,"54,7"
He3&rtimesC2,2nd semidirect product of He3 and C2 acting faithfully; = Aut(3-&hairsp1+2),9,3,He3:C2,"54,8"
C3×C18,"Abelian group of type [3,18]",54,,C3xC18,"54,9"
C2×He3,Direct product of C2 and He3,18,3,C2xHe3,"54,10"
C2×3-&hairsp1+2,Direct product of C2 and 3-&hairsp1+2,18,3,"C2xES-(3,1)","54,11"
S3×C32,Direct product of C32 and S3,18,,S3xC3^2,"54,12"
C3×C3&rtimesS3,Direct product of C3 and C3&rtimesS3,18,,C3xC3:S3,"54,13"
C33&rtimesC2,3rd semidirect product of C33 and C2 acting faithfully,27,,C3^3:C2,"54,14"
C32×C6,"Abelian group of type [3,3,6]",54,,C3^2xC6,"54,15"
