C104,Cyclic group,104,1,C104,"104,2"
D52,Dihedral group,52,2+,D52,"104,6"
Dic26,Dicyclic group; = C13⋊Q8,104,2-,Dic26,"104,4"
C13⋊D4,The semidirect product of C13 and D4 acting via D4/C22=C2,52,2,C13:D4,"104,8"
C13⋊C8,The semidirect product of C13 and C8 acting via C8/C2=C4,104,4-,C13:C8,"104,3"
C13⋊2C8,The semidirect product of C13 and C8 acting via C8/C4=C2,104,2,C13:2C8,"104,1"
C2×C52,"Abelian group of type [2,52]",104,,C2xC52,"104,9"
C22×C26,"Abelian group of type [2,2,26]",104,,C2^2xC26,"104,14"
C4×D13,Direct product of C4 and D13,52,2,C4xD13,"104,5"
D4×C13,Direct product of C13 and D4,52,2,D4xC13,"104,10"
C22×D13,Direct product of C22 and D13,52,,C2^2xD13,"104,13"
Q8×C13,Direct product of C13 and Q8,104,2,Q8xC13,"104,11"
C2×Dic13,Direct product of C2 and Dic13,104,,C2xDic13,"104,7"
C2×C13⋊C4,Direct product of C2 and C13⋊C4,26,4+,C2xC13:C4,"104,12"
