32;[ 32, 8 ];C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2);[ 2 ];
32;[ 32, 9 ];(C8 x C2) : C2;[ 2 ];
32;[ 32, 10 ];Q8 : C4;[ 2 ];
32;[ 32, 11 ];(C4 x C4) : C2;[ 2 ];
32;[ 32, 12 ];C4 : C8;[ 2 ];
32;[ 32, 13 ];C8 : C4;[ 2 ];
32;[ 32, 14 ];C8 : C4;[ 2 ];
32;[ 32, 15 ];C4 . D8 = C4 . (C4 x C2);[ 2 ];
32;[ 32, 16 ];C16 x C2;[ 2 ];
32;[ 32, 17 ];C16 : C2;[ 2 ];
32;[ 32, 18 ];D32;[ 2 ];
32;[ 32, 19 ];QD32;[ 2 ];
32;[ 32, 20 ];Q32;[ 2 ];
32;[ 32, 21 ];C4 x C4 x C2;[ 2 ];
32;[ 32, 22 ];C2 x ((C4 x C2) : C2);[ 2 ];
32;[ 32, 23 ];C2 x (C4 : C4);[ 2 ];
32;[ 32, 24 ];(C4 x C4) : C2;[ 2 ];
32;[ 32, 25 ];C4 x D8;[ 2 ];
32;[ 32, 26 ];C4 x Q8;[ 2 ];
32;[ 32, 27 ];(C2 x C2 x C2 x C2) : C2;[ 2 ];
32;[ 32, 28 ];(C4 x C2 x C2) : C2;[ 2 ];
32;[ 32, 29 ];(C2 x Q8) : C2;[ 2 ];
32;[ 32, 30 ];(C4 x C2 x C2) : C2;[ 2 ];
32;[ 32, 31 ];(C4 x C4) : C2;[ 2 ];
32;[ 32, 32 ];(C2 x C2) . (C2 x C2 x C2);[ 2 ];
32;[ 32, 33 ];(C4 x C4) : C2;[ 2 ];
32;[ 32, 34 ];(C4 x C4) : C2;[ 2 ];
32;[ 32, 35 ];C4 : Q8;[ 2 ];
32;[ 32, 36 ];C8 x C2 x C2;[ 2 ];
32;[ 32, 37 ];C2 x (C8 : C2);[ 2 ];
32;[ 32, 38 ];(C8 x C2) : C2;[ 2 ];
32;[ 32, 39 ];C2 x D16;[ 2 ];
32;[ 32, 40 ];C2 x QD16;[ 2 ];
32;[ 32, 41 ];C2 x Q16;[ 2 ];
32;[ 32, 42 ];(C8 x C2) : C2;[ 2 ];
32;[ 32, 43 ];C8 : (C2 x C2);[ 2 ];
32;[ 32, 44 ];(C2 x Q8) : C2;[ 2 ];
